epoch,accuracy,loss,val_accuracy,val_loss
0,0.569983959197998,1.623854160308838,0.6156843900680542,3.5400850772857666
1,0.9115822911262512,0.29113611578941345,0.8770211338996887,0.5222037434577942
2,0.9692302346229553,0.10687095671892166,0.9796702861785889,0.07255998253822327
3,0.9821807146072388,0.06204122304916382,0.9919945001602173,0.029106222093105316
4,0.9873948097229004,0.042937468737363815,0.9932059049606323,0.02314571850001812
5,0.9904261231422424,0.03289257362484932,0.9948912262916565,0.016659338027238846
6,0.9916141033172607,0.027503762394189835,0.9949965476989746,0.017289139330387115
7,0.9927903413772583,0.02283487841486931,0.9954178929328918,0.013901072554290295
8,0.9933580160140991,0.02096029929816723,0.9959972500801086,0.012410791590809822
9,0.994066059589386,0.01809452660381794,0.9962079524993896,0.012195609509944916
